Title,Author,Abstract
Teaching White Papers Through Client Projects,Russell Willerton,"White papers are increasingly prevalent in business and professional settings. Although textbook resources for white paper assignments are limited, a white paper assignment completed for a community client can provide a learning experience that students enjoy and that strengthens ties between the university and the community. This article describes a way to approach the white paper assignment in a communications-focused course and identifies resources to support white paper assignments."
Improving Employees’ Interpersonal Communication Competencies,Geraldine E. Hynes,"Companies that recognize the relationship between employee engagement and business success will seek ways to foster and facilitate workers’ emotional well-being. One way to encourage employee engagement is to provide training in interpersonal communication. This research analyzes what one U.S.-based company is doing to achieve that goal. The company and the evolution of its communication training program are described, with a focus on an interpersonal communication component. Methods used for evaluating learning outcomes are outlined, along with some results. Finally, this study proposes several implications of this case study for business communication professionals."
Positioning Résumés and Cover Letters as Reflective-Reflexive Process,Chalice Randazzo,"Although the résumé and cover letter genre is widely discussed in both popular and scholarly publications, discussion thus far has failed to acknowledge that the process of creating a résumé and cover letter has the potential for encouraging students’ reflective and reflexive capacities. This article suggests that business communication educators can realize this potential through three pedagogical changes: timing the assignment to coincide with reflective phases in the learning cycle, incorporating rhetorical context, and promoting abstraction and generalization. With these adjustments, the genre becomes a unique opportunity among reflective-reflexive documents because of its pervasiveness, timeliness, and rhetorical significance."
Toward Learner-Centered Teaching,"Karl L. Smart, Christine Witt, James P. Scott","Through the past several years, the emphasis in education has shifted from a teacher-centered to a learner-centered approach. Traditional teaching has too often been based on a passive lecture model, dependent on an expert teacher who funnels knowledge into the somewhat retentive minds of students. More current learning theory suggests a different role for teachers—that of facilitators. Based on research about how people learn, this article advocates that teachers use more active, inductive instruction in the classroom and demonstrates a student-centered approach using classroom examples implemented in a required, college-level business communication course."
Executive Perceptions of the Top 10 Soft Skills Needed in Today’s Workplace,Marcel M. Robles,"Hard skills are the technical expertise and knowledge needed for a job. Soft skills are interpersonal qualities, also known as people skills, and personal attributes that one possesses. Business executives consider soft skills a very important attribute in job applicants. Employers want new employees to have strong soft skills, as well as hard skills. This study identified the top 10 soft skills as perceived the most important by business executives: integrity, communication, courtesy, responsibility, social skills, positive attitude, professionalism, flexibility, teamwork, and work ethic."
Back to Our Roots,Rebecca Pope-Ruark,"This article argues for a scholarly research agenda in the Scholarship of Teaching and Learning (SoTL) for the broad discipline of professional communication by distinguishing SoTL from other types of teacher-scholar practice, including anecdotal publications, action research, traditional educational research, and scholarly teaching. Doing so carefully positions SoTL as an extension of the pedagogical roots of business and technical communication and as a way to reinforce our teaching fortes, unite the fields within the discipline via research, and strengthen arguments for disciplinarity and academic respect."
Organizational and Supervisory Apology Effectiveness,"Ryan S. Bisel, Amber S. Messersmith","We synthesize the interdisciplinary literature into a heuristic for crafting effective organizational and supervisory apologies (the OOPS four-component apology). In the first experiment, we demonstrate how an offense committed by an organization is perceived to be more egregious than an offense committed by a friend or supervisor. Furthermore, results did not support that OOPS apologies are unequally effective if issued by a friend, supervisor, or organization. In the second experiment, we test OOPS apology-training effectiveness. Results indicated that trained participants crafted more effective apologies. Our apology heuristic is an innovation for training business communicators how to apologize effectively."
A Hybrid Recursive Model for Teaching and Learning Business Writing,Heidi Schultz,"To replicate the need for communication speed and effectiveness in the workplace, I have designed a successful business writing course based on a hybrid recursive model that combines prescriptive rhetorical patterns with a perceptive application of those patterns. The model draws inspiration from (a) current-traditional rhetoric, modified for a business context, to address the need to write quickly, which I label the “prescriptive phase,” and from (b) cognitive rhetoric, again modified for a business context, to address the need to write effectively, which I label the “perceptive phase.”"
Using Problem-Based Scenarios to Teach Writing,"Karl L. Smart, Nancy Hicks, James Melton","The ability to communicate effectively remains a critical skill for obtaining a job and achieving success in the workplace; however, many still lack these skills. In particular, graduates lack adequate writing skills. This article advocates the use of problem-based scenarios to teach writing, which focuses on authentic rhetorical framing similar to writing done in the workplace. A sample scenario is provided along with three responses, showing the type of issues involved in helping students develop writing skills appropriate to an organizational context."
A Heuristic Tool for Teaching Business Writing,Lorelei A. Ortiz,"To teach effective business communication, instructors must target students’ current weaknesses in writing. One method for doing so is by assigning writing exercises. When used heuristically, writing exercises encourage students to practice self-assessment, self-evaluation, active learning, and knowledge transfer, all while reinforcing the basics of good writing. Using writing exercises as a diagnostic or maintenance tool at different stages in the semester, in addition to the core assignments, can drastically improve undergraduate and graduate student writing and increase the probability that these students will transfer that writing knowledge into other courses and into their practices as professional writers in industry."
Using the Teaching Portfolio to Anticipate Programmatic Assessment,Kenneth R. Price,Portfolios have long been a staple in professional writing courses: both in employment materials assignments and in entire classes that ask students to reflect on their experiential learning. Portfolios may also be used effectively in business communication teaching methods courses. This article details the justification and methodology for having a teaching portfolio as the capstone assignment in a business communication pedagogy course. It also explains how this portfolio may be used to anticipate programmatic assessment and verification of entry-level business communication courses during the accreditation process.
Potential for Collaborative Writing in Professional Communication and Health Studies Through Service-Learning,"Sandra Hill, Paula Griswold","Two professors teaching in professional writing and health studies have incorporated service-learning projects into their courses and included similar writing goals. Though employing different methodologies, they saw similar outcomes. Through assessment of student reflections and discussions of course outcomes, both professors concluded that there is potential for collaborative service-learning projects between the two disciplines. This article discusses pedagogical approaches in the two courses, the theory and pedagogy on which the approaches are based, and practical ideas on how a collaborative professional writing/health studies service-learning project might be set up. Such ideas may provide a model for collaboration across disciplines."
Which CSR-Related Headings Do Fortune 500 Companies Use on Their Websites?,"Katherine Taken Smith, Julie J. Alexander","This article examines website headings used by Fortune 500 companies in their efforts to inform stakeholders about corporate social responsibility (CSR). Instead of using “Corporate Social Responsibility” as a heading, companies often use specific terms to identify various CSR initiatives. The purpose of this article is to identify common CSR-related headings that are currently used on Fortune 500 company websites. Data were collected from all Fortune 500 company websites. The websites were further analyzed according to manufacturing, retailing, and service industry. Interesting similarities and differences were found. This study provides guidance on articulating CSR-related activities to consumers, employees, and stakeholders."
Business Languages for Intercultural and International Business Communication,Judith Ainsworth,"Specialists in international education maintain that all undergraduates require contact with and understanding of other nations, languages, and cultures to develop intercultural communication skills. To determine if the business school at a small comprehensive university provides sufficient intercultural communication training, feedback from two surveys and an interview with the international business (IB) coordinator were analysed. Results revealed that the business school has implemented a multicomponent IB concentration, but that business language initiatives were unsustainable because of inadequate administrative commitment. Thus, efforts directed at internationalising the curriculum fail unless they are fully integrated into all programs and engage all stakeholders."
Business Communication Curricula Today,"Matthew R. Sharp, Eva R. Brumberger","This article reports the results of a study examining the business communication offerings at the top 50 undergraduate business schools, as identified in the Bloomberg Businessweek rankings for 2011. The study focuses on communication course requirements, sequences, and programs, as well as what areas typically receive the most coverage within courses. The data are compared with information from similar studies dating back to 1999 in order to assess the current status of business communication courses and programs within business curricula and to make suggestions for future development."
Assessing WAC Elements in Business Syllabi,"Maureen O’Day Nicolas, Samer Annous",This study investigates syllabi for evidence of the principles of writing across the curriculum (WAC) in courses offered by the Faculty of Business (FOB) at a university operating in a non–English-speaking country. The research analyzed all syllabi of FOB courses offered in the spring 2010 semester for evidence of WAC looking for indications of writing activities. The analysis focused on both expressive/informal and product/formal writing and discovered through the syllabi the intention of the instructor to incorporate writing. The findings suggest that these courses require little or no writing and therefore principles of WAC are not evident.
360-Degree Rhetorical Analysis of Job Hunting,"Huiling Ding, Xin Ding","This article proposes the use of a four-component multimodal employment project that offers students a 360-degree understanding of the rhetorical situations surrounding job searches. More specifically, we argue for the use of the four deliverables of written resumes and cover letters, mock oral onsite interview, video resume analysis, and peer critique of social media profiles in a widely taught employment project to help students better analyze the complicated rhetorical situations surrounding job applications and to facilitate better peer collaboration and serious revision of the two high-stakes documents of cover letters and resumes."
Curricular Implications of Virtual World Technology,"Dale Cyphert, M. Susan Wurtz, Leslie K. Duclos","As business organizations grow increasingly virtual, traditional principles of organizational communication require examination and modification. This article considers the curricular implications of the growing business uses of virtual world technology through three different lenses—students as employee-users, students as strategic designers and decision makers, and students as theorists. The instructor’s approach to communication principles relevant to persistent virtual worlds should be grounded in current and anticipated business applications. Emerging business practice provides guidance regarding the communication principles and skills that might be required of students entering careers in a contemporary business world of networked, digitized, and virtually enhanced communication."
Workplace Engagement and Generational Differences in Values,Nancy M. Schullery,"This article summarizes literature on workplace engagement, an issue that affects organizations’ financial results and individuals’ personal lives. The newest of the four generations in the workplace, Millennials, were recently shown to have different values than the other two prevalent generations. Surveys taken by 16,000 high school seniors of three generations on intrinsic, extrinsic, social, leisure, and altruistic values at work show only the altruistic value is not statistically different. When aggregated, these generational differences have noticeable practical impact. In the classroom, engagement is essential to learning. Examples of engaging activities that address the Millennials’ values are provided."
"Personal, Reflective Writing",Holly Lawrence,"The use of personal, reflective writing exercises is well documented in the disciplines of composition and management, and each discipline has been highly influential in establishing pedagogical practices in the business communication classroom. However, we see little evidence of the pedagogical practice, the use of personal reflective writing exercises, in the teaching of business communication. This article looks at pedagogy and theory that informs the use of personal, reflective writing exercises in composition and management and suggests the relevance of these same practices in business communication classrooms today. Building on relevant pedagogical theory and practice, the author also makes the claim that personal reflective writing exercises can make students better writers and more effective managers and leaders. The article concludes with sample exercises that readers might try in their own business communication classrooms."
Telling Tales at Work,Chulguen (Charlie) Yang,"This article explores the adaptive functions of storytelling in the workplace from an evolutionary perspective. Based on the analysis of ethnographic studies on hunter-gatherer and modern work organizations, this article claims that storytelling, as an adapted cognitive device, was selectively retained by natural and sexual selection, because of its survival and reproductive payoff. The narrative production through storytelling is a natural coping mechanism and has been functional in both old and new ways of working life under different ecological conditions. This article also highlights underlying adapted psychological mechanisms of storytelling and discusses some evolutionarily informed practical implications and pedagogical applications."
Writing Self-Efficacy and Written Communication Skills,Deanna DeBrine Mascle,"Writing is an essential professional skill. The goal of writing instruction in business communication classes is to develop the skills and knowledge necessary to successfully meet future writing challenges. However, many writers struggle to transfer skills and knowledge from one context to another. The primary reason for this struggle is that despite years of writing instruction, most people are highly apprehensive about writing and do not consider themselves “writers.” Writing instruction typically does little to lessen writing apprehension, but fostering writing self-efficacy can both diminish writing apprehension and further writing development."
Graphic Presentation,"Jeremy C. Short, Brandon Randolph-Seng, Aaron F. McKenny","Graphic novels have been increasingly incorporated into business communication forums. Despite potential benefits, little research has examined the merits of the graphic novel approach. In response, we engage in a two-study approach. Study 1 explores the potential of graphic novels to affect learning outcomes and finds that the graphic novel was related to high levels of learning experiences. Study 2 compares the impact of graphic novels with that of traditional textbooks and finds that verbatim recognition was superior with graphic novel texts. Overall, we provide the first comprehensive examination of the graphic novel as a tool for effective business communication."
From Theory to Practice,"Tamara Aertsen, Koen Jaspaert, Baldwin Van Gorp","In this article, an educational project is described that was formulated with the aim to give master’s students in business communication the opportunity to experience how theory could be applied to shape practice. A 4-week project was developed in which students were urged to use communication theory and linguistic theory to manage the communication with respect to a simulated crisis at the university. The students were enrolled in collaborative learning teams. In this article, the architecture of the project is described, and drawing on an analysis of the students’ work and their evaluation of the project, its outcomes are discussed."
"Selections From the ABC 2012 Annual Convention, Honolulu, Hawaii",D. Joel Whalen,"The 13 Favorite Assignments featured here were presented at the 2012 Association for Business Communication (ABC) Annual Convention, Honolulu, Hawaii. A variety of learning objectives are featured, including the following: enhancing resume’s visual impact, interpersonal skills, social media, team building, web design, community service projects, and ethics. The authors share ideas for the classroom, for online instruction, and are taught in a single class or designed to consume an entire semester. Each assignment reflects the individual author’s passion for active learning that stimulates practical skill-building, judgment, and communication skills. Additional teaching materials—including instructions to students, stimulus materials, slides, grading rubrics, frequently asked questions (FAQs), and sample student projects—are posted on http://www.salesleadershipcenter.com/research.html#mfa13. More excellent Favorite Assignment papers can be seen on the above webpage. This year, a bonus five authors have web..."
New Options for Usability Testing Projects in Business Communication Courses,Daphne A. Jameson,"The increasing availability of recording technologies makes it easier to include usability testing projects in business communication courses. Usability testing is a method of discovering whether people can navigate, read, and understand a print or electronic communication well enough to achieve a particular purpose in a reasonable time frame. Usability projects increase students’ knowledge and motivation by forcing them to experience the audience’s frustrations with poorly written and designed communications. By following the suggestions and examples provided, faculty can develop effective usability project materials and capitalize on new technologies for data collection and sharing."
A Contemporary Simulation Infused in the Business Communication Curriculum,"Meghann L. Drury-Grogan, Travis L. Russ","This research examines students’ reactions to a contemporary simulation infused in the business communication curriculum. Results show that students indicated the experience helped them learn how to work better as a team, how to maintain composure, how the business world works, and how to improve their communication. Students also verified the validity of the simulation, stating that it prepared them for the business world by providing them with a challenging yet positive experience to demonstrate learned business communication principles. Details about the pedagogical framework of the business communication simulation and possible explanations and implications behind the findings are discussed."
Updating Best Practices,Charlsye Smith Diaz,"The best practices presented in textbooks and professional publications provide separate guidelines for paper-based and electronic or “scannable” résumés. This article recommends changing these practices so that writers can prepare one résumé for both paper and electronic delivery. These recommendations focus on three areas. Résumés should be formatted based on eye-tracking research about on-screen reading. Specific guidelines should help writers decide when to include an objective or summary. Keywords should be prioritized over active verbs. Last, résumés still must be formatted for paper but designing for on-screen reading is now equally or more important, and best practices need to reflect this change."
Intercultural Communication Apprehension and Emotional Intelligence in Higher Education,"Lisa T. Fall, Stephanie Kelly, Patrick MacDonald, Charles Primm, Whitney Holmes","Given the expanding globalized workforce, business educators continue to seek new ways to prepare students for intercultural encounters. Although immersion in other cultures is the optimal strategy, this method is not always feasible. As such, educators seek other mechanisms to simulate intercultural experiences. This study examines emotional intelligence as a predictor of intercultural communication apprehension among university students (N = 425). Results indicate that three of the emotional intelligence subscales predict intercultural communication apprehension: emotionality, sociability, and self-control. These results support the premise that emotional intelligence manages and/or reduces intercultural communication apprehension and therefore should be integrated in business curriculum."
Perceptions of Civility for Mobile Phone Use in Formal and Informal Meetings,"Melvin C. Washington, Ephraim A. Okoro, Peter W. Cardon","We report our survey research about what American business professionals consider appropriate or civil mobile phone behavior during formal and informal meetings. The findings come from two of our recent research studies: an open-ended survey of 204 employees at a beverage distributor on the East Coast and a nationwide, random-sample survey of 350 business professionals in the United States. There were significant differences by age, group, gender, region, and income level. The differences between women and men were quite striking, with men nearly twice as likely to consider various mobile phone behaviors as acceptable in informal meetings."
Revisiting a Genre,Christopher Toth,"Infographics exist on nearly any topic you can imagine, proliferating in the digital age with social media. As this genre continues to explode in the business scene, business and professional communication instructors can no longer ignore showing their students infographics. After first defining the genre and outlining how it situates itself within business and professional communication, this article offers two approaches to increase awareness and exposure of infographics for students. The first focuses on an analysis assignment using infographics; the second focuses on a production assignment."
Voice Assessment of Student Work,"Barry Eckhouse, Rebecca Carroll","Although relatively little attention has been given to the voice assessment of student work, at least when compared with more traditional forms of text-based review, the attention it has received strongly points to a promising form of review that has been hampered by the limits of an emerging technology. A fresh review of voice assessment in light of recent technological developments strongly suggests that this form of review is now ready for broad adoption. Favorable student reception of voice assessment and its potential for raising instructor awareness around the review process itself argue further for considering it afresh."
MBA Students’ Workplace Writing,Paula Lentz,"Employers frequently complain about the state of their employees’ writing skills. Much of the current research on this subject explores workplace writing skills from the employer’s perspective. However, this article examines workplace writing from the employees’ perspective. Specifically, it analyzes MBA students’ responses to a course assignment in which they assessed their writing strengths and weaknesses and reflected on opportunities and threats to demonstrating good writing skills in the workplace. Results indicate employers must show that they value good writing and that writing skills must become the employee’s habit. Implications for business communication pedagogy are discussed."
Teaching Teamwork Through Coteaching in the Business Classroom,"Julie A. Kliegl, Kari D. Weaver","Business educators recognize the importance of developing teamwork as an employability skill. However, current methods used to teach teamwork have been met with mixed results from both students and educators. This article integrates research on the importance of teamwork, team development processes, and coteaching through examining a case study wherein coteaching was used as a means of conveying teamwork concepts to students. Coteaching is an alternate approach to teaching teamwork skills. In this case, the core competencies of shared values, complementary expertise, and the willingness to experiment were critical to forming and developing a functional teaching partnership."
"Three Sales Letter Themes: Taste It, Try It, Touch It","Marsha L. Bayless, Christine Monica Irvine, Mary Ellen Murray","Sales letters are one type of persuasive letter often assigned in the business communication classroom. This article dis cusses three approaches that require the student to either taste a product, try out an item, or touch an object before writing the sales letter to a prospective audience. The article describes pre-assignment activities, the assignment, and student reaction to the activities. Samples of handouts and student work are included."
"Grammatik 5® for Windows: Random Thoughts from a White, Male, Middle-Class German-Canadian",Richard Mende,"In this potentially controversial article, the author expresses grave concerns about Grammatik 5 for Win dows, both as a teaching tool and as a subtle means of propagating a political perspective. His objections to the software are on four grounds: lexicological, grammatical, structural, and political. The software presents users with feedback that is often wrong, frequently confusing, and sometimes irrelevant. Of particular interest is his discov ery that Grammatik 5 has been programmed to encourage ""political correctness."""
Teaching Company Research: Step-by-Step Instructions for Guiding Students Through a Library Assignment,"Paula R. Kaiser, Catherine K. Levinson","The responsibility for teaching students to research compa nies often falls to business communication instructors. While textbooks provide useful information related to company research, some instructors may need more detailed assistance in guiding their students' first efforts in researching compa nies. This article provides a step-by-step guide for research ing public and private companies. A sample assignment provides a context for practicing the research skills."
Helping Business Writing Students Improve as Document Designers,Jerome Curry,"Most introductory-level business writing texts fail to carry page design challenges beyond the chapter that outlines fundamentals. Clearly, if business writing instructors wish to help their students improve as designers, they must go beyond what textbooks offer. They must challenge their students repeatedly throughout the course. Three design challenges that are meant to be presented to stu dents over an eight-to-ten-week period are described."
Management Communication Strategy in Case Assignments: The Double-Message Approach,Betsy Stevens,"Case studies, used extensively in business communication classes, offer an advantage by presenting students with real-life situations to which they can respond using writ ten business genres. Cases, however, limited by their cryp tic and condensed nature, may not fully communicate the context of the event. Understanding context has become increasingly important as issues of race, gender, and mul ticultual communication have emerged in the workplace. The double-message approach offers a solution by asking students to write a context memorandum along with their response to the case protagonist."
Enhancing Business Communication with Group Decision Support Systems,"Milam Aiken, Jeanette Martin","Group Decision Support Systems are helping many orga nizations to improve the efficiency and effectiveness of group meetings. In addition, multilingual Group Decision Support Systems can support groups using many differ ent languages by automatically translating group mem bers' comments. In this paper, we describe this new technology and demonstrate how it can enhance business communication."
Teaching Business Students to Write Performance Appraisals,"Sandra J. Nelson, Laura MacLeod","Since many business students will conduct performance appraisals in future employment, instruction on performance appraisals is appropriate for the business communication course. This article contains a discussion of a unit on perfor mance appraisals, including writing comments to support ratings, drawing conclusions concerning performance, and making recommendations to improve performance. An exam ple of an assignment that requires students to complete an appraisal form is provided. Last, suggested teaching tech niques are given for the appraisal unit."
Adapting Corporate Presentation Skills Training Practices for Use in a University Classroom,Judith A. Kolb,"Both corporate and university sectors are engaged in the teaching of communication courses. As someone who has taught in both settings, I believe that trainers and profes sors have much to gain from pooling ideas. With this in mind, I first observed and then participated in a week- long ""Presentation Skills"" workshop taught in a Fortune 500 company to determine what aspects of that program might be transplanted to a traditional university public speaking course. I then took ideas gained from the work shop and applied them to the public speaking classes I taught at a western university. This article is an examina tion and discussion of this process."
A Case Study in Business Writing: An Examination of Documents Written by Executives and Managers,"Leona M. Gallion, C. Bruce Kavan",This study examines the types of documents written by 23 executives/managers in two different companies—a col lection agency division of a large service company and a mid-sized professional liability insurance company. Implications for business writing courses are given.
"A Short Classroom Unit, but a Significant Improvement, in Listening Ability","Thomas L. Means, Gary S. Klein","The purpose of this study was to determine if a unit on listening that consumes little class time would signifi cantly increase listening skills. This research design was basically pretest/treatment/posttest. Excluding the pre- and posttest, the treatment takes only 80 classroom min utes. The Watson-Barker Listening Test—Video Version was used as the measurement instrument. The data revealed that the average listening skills of participants increased over 21 %. The greatest improvement (over 40%) took place in two listening skill areas—evaluating mes sage content and understanding meaning in conuersation. A significant improvement (over 20%) occurred in under standing and remembering lectures."
Teaching Listening: Some Thoughts on Behavioral Approaches,Judi Brownell,"This paper provides an overview of the issues involved in providing listening instruction to those who work or who are preparing to work in organizations. Questions are posed regarding the nature of listening and listening instruction. A behavioral approach is suggested, and the benefits and concerns regarding this perspective are examined."
Résumé Content and Format—Do the Authorities Agree?,"Beverly Culwell-Block, Jean Anna Sellers","A review of business communication textbooks was con ducted to determine, according to the textbook authors, what information should and should not be included on the résumé, the format, and the importance of the overall appearance. Although the research shows there is agree ment among the textbook authors on many issues, there is also disagreement in several areas. But the message is clear—with the increasing competition in the employment market, college graduates would be well advised to develop a résumé that is complete, concise, clear, and error-free."
Augmenting Instruction in Business Communication Courses with the Internet,Lance Cohen,"Faced with shrinking budgets and changing standards at their colleges and universities, instructors of business communication are looking for new ways to prepare stu dents for careers in business. Using computer-mediated technologies, instructors can develop activities outside the classroom to motivate and inform students. Augmenting business communication courses with e-mail and Internet protocols, instructors can reach larger segments of their classes, stimulate discussions, create simulations, and strengthen their relationships with students. Using imagi native techniques, students and instructors can work together to develop a new kind of educational community whose communications are mediated by computers."
Written Communication Skills of International Business Persons,"Mona Casady, Lynn Wasson","To determine written communication skill requirements, responsibilities, and deficiencies of employees in interna tional businesses, a nationwide survey of key personnel administrators in selected companies was conducted. The findings indicate that (a) major writing responsibilities exist in various departments within international compa nies, (b) the variety of documents produced are similar to those in domestic businesses, (c) most written do cuments are produced at the keyboard or in longhand, and (d) the major writing deficiency is mechanics. Screening tech niques employed to assess writing abilities before hiring individuals most often include a review of the application materials. Most reported that no specific communication problems exist because nearly all business is conducted in English. Yet the representatives who were interviewed had recommendations for ensuring successful international written communications."
Ethos at Sea,Robert Shenk,"A study of writing in the United States Navy indicates the wide usefulness of the rhetorical concept of ethos. Although almost never formally taught, the concept is continually being rediscovered and applied within a wide variety of naval contexts, from naval personnel evaluations to ship- repair reports. But ethos is still too seldom consciously present or habitually applied in the naval profession. And, as the Tailhook episode has recently demonstrated, a lack of such understanding can sometimes have adverse effects on the credibility of the Navy as a whole."
Getting the Big Picture: Writing to Learn in a Finance Class,"Susan Hall, Theresa Tiggeman","This paper describes a project incorporating writing-to- learn activities into an introductory finance class. Such activities use writing informally as a vehicle to promote student learning. Examination of the students' brief papers showed that students became less likely to skip theory and go to canned formulas and that they took more responsibil ity for their work. For instructors, the project was beneficial because it enabled them to tailor class presentations more precisely to students' actual comprehension of course material."
Integrating Business Communication Skills into a Buyer-Behavior Course Project,"Alan P. Wunsch, Chuck Tomkovick","Marketing educators have long recognized the need for strengthening their students' business communication skills. Recruiters routinely consider superior communica tions skills as essential hiring criteria when filling entry- level marketing positions. Additionally, marketing students consistently rate communication-intensive business courses as among those most helpful to them in preparing for their business careers. This paper discusses an undergraduate buyer-behavior course project targeted at improving stu dents' business communication skills through a team- teaching project. The paper highlights the value of integrating written, oral, and electronic communications pedagogy with buyer-behavior course instruction and then outlines the project from a ""how-to-do-it"" perspective."
Self-Assessment of Com munication Behavior: An Experiential Learning Exercise for Intercultural Business Success,"Jensen J. Zhao, Calvin Parks","This self-assessment is an experiential learning exercise designed for both corporate training and classroom. With Kolb's experiential learning model as a theoretical base, the self-assessment questionnaire in the exercise was developed on the basis of seven. dimensions of communication compe tence identified and confirmed by various empirical studies as predictors of intercultural business success. After com pleting this exercise, students should be able to (a) identify their communication behavior in intercultural interactions, (b) be aware of their communication competence level in intercultural interactions, and (c) increase their under standing of the relationship between communication behav ior and intercultural business management success."
Diversity Training: Effects of an Intervention Treatment on Nonverbal Awareness,"Jean A. Mausehund, Susan A. Timm, Albert S. King",The diversity of society today requires people to interact with others who have different cultural backgrounds. The simplest communication can be complicated by nonverbal factors. This study used a pretest-posttest design to deter mine the effect of an intervention treatment consisting of students viewing pictures of people and identifying attrib utes based solely on what they see. Then in groups the students discussed their varying interpretations. The findings were that the treatment made students more aware of nonverbal factors and how they are involved in interper sonal communication.
Teaching the Art of the Memo: Politics and Precision,H. William Rice,"In order to reproduce the politically charged environment of most corporations, I turn my class into a company. Using previously designated study groups, I make one the presi dent, another the vice president, and a final one the man ager of operations. Then I give them a problem which they can handle only through memos. Outside of class, they communicate by fax machines. Inside of class, they read and discuss each other's memos. This assignment enables the instructor to drop out of the role of lecturer as students discover for themselves the complex interaction between a writer and an audience."
"Meeting Workplace Needs in an Introductory Business Writing Course: A Tale of a Classroom Corporation and a ""Boss"" Instructor",Mary Sue Garay,"This paper shows instructors how playing the role of a boss can lead students to write, speak, and behave more profes sionally. The course accomplishes this transformation by changing the academic mindsets, conventions, and actions of both instructor and students. Instead of academic policies to govern a class, workplace conventions operate. In a reciprocal fashion, instructors assume that students' assignments represent the instructor's competence to upper management, and thus instructors ""invest""themselves in student work beyond traditional academic obligations. The paper also critiques the ""boss"" approach as well as provides assignment topics, evaluation guidelines, and specific descriptions of some assignments."
Adapting Composition Theory to the Business Communication Course,"Janet K. Winter, Esther J. Winter",Composition research provides a vast field of information from which business communication instructors can draw. Major changes in techniques for responding to student writing include teaching the process of writing and ways to teach grammar.
Business Communication Technologies: A New Course,"Phillip G. Clampitt, Tim Meyer","This article describes a new course that focuses on the impact of evolving communication technologies on business. Two core questions are addressed in the class: First, how does a manager or employee choose the appropriate channel for a given communication situation? Second, how does an organization choose which technologies are appropriate for its business needs? In the course, we answer those questions by examining strategic models, assessing specific technologies, and presenting case studies. The article discusses these ideas and evaluates the effectiveness of the course."
Building a Model for Distance Collaboration in the Computer-Assisted Business Communication Classroom,"Elizabeth Sanders Lopez, Edwin Nagelhout","Traditionally, research about collaboration in business communication classes has focused on small-group interaction and peer review of documents. Yet, computer classrooms and electronic networks used for teaching business communication today are affecting how traditional collaboration works and are opening up new possibilities for collaborative activity. One exciting possibility is using network technology to promote collaboration beyond the four walls of a single classroom. This article outlines a model for distance collaboration between business writing classrooms using network technology and discusses new ways to teach national and international audience awareness, problem solving, and the contextual nature of cases."
Group Writing: Student Perceptions of the Dynamics and Efficiency of Groups,"Janet K. Winter, Joan C. Neal","Understanding student perceptions of group work should help educators prepare students to be effective group members in the classroom and at work. This study ascer tained student perceptions of their learning and achievement in group situations. The following correlations were determined: (a) There was a relationship between student grades and perceptions of the writing quality as well as perceptions of the amount learned about group processes; (b) there was no correlation between grades and student opinions of the quantity of work achieved, the type of person who hindered the group the most, and whether the student enjoyed the group work."
Tapping Campus Talent for the Collegiate Business Communication Course: A Guide to Guest Speakers,Mary Ellen Nourse,"Since ""variety is the spice of life,""guest speakers can add an element of enthusiasm and interest in the business communication classroom. Individuals from departments as diverse as home economics, research and development, and academic computing can be approached as potential guest speakers for the undergraduate course. Experts from the campus community can be tapped to lend expertise and insights on many topics usually included in the business communication curriculum."
Challenging Students to Respond to Multicultural Issues: The Case-Study Approach,Helen M. Sharp,"Business communication and technical writing students face a new workplace challenge: responding to problems that reflect a multicultural dimension and involve business- people whose perspectives, values, and traditions are not Western. Case studies are a good teaching strategy to introduce multicultural issues in business communication. Case studies involve students in group settings and demand both problem-solving and human-relations skills. Adding discussion questions to case-study problems prompts student responses, and assigning a follow-up progress report or memorandum ties the case-study reviews to course goals. This article includes both a description of the assignment and two timely case-study samples."
